potential,N_A,N_B,m_A,m_B,T,rho,S_EX,eta,D_A,D_B,R,gamma
KA,820.0,204.0,1.0,1.0,5.0,1.204,-2.645832,4.604793740163639,0.16384463764647494,0.2290257698944837,0.992,4.7639999999999985
KA,820.0,204.0,1.0,1.0,1.0,1.4015993846208157,-5.948633,14445.756559918796,4.620765355955121e-05,0.0001407055597483246,0.983,4.807
KA,820.0,204.0,1.0,1.0,1.2,1.4015993846208157,-5.57565,393.0704749780612,0.000740370170620844,0.001577951255560482,0.985,4.795
KA,820.0,204.0,1.0,1.0,1.3,1.4015993846208157,-5.4186190000000005,182.0751611040963,0.001522784353581308,0.0028906062192811948,0.986,4.789
KA,820.0,204.0,1.0,1.0,1.4,1.4015993846208157,-5.276838,108.01049290078885,0.002504036315308962,0.0045658816633245645,0.987,4.784
KA,820.0,204.0,1.0,1.0,1.8,1.4015993846208157,-4.8223400000000005,37.82471130519628,0.00813510925977475,0.01415521429592074,0.989,4.76
KA,820.0,204.0,1.0,1.0,1.9,1.4015993846208157,-4.729691000000001,32.60630792158712,0.010035350277597518,0.016215665234747895,0.99,4.753
KA,820.0,204.0,1.0,1.0,2.0,1.4015993846208157,-4.643538,28.408372434039922,0.011702569338496607,0.019574708244241592,0.99,4.747
KA,820.0,204.0,1.0,1.0,5.0,1.4015993846208157,-3.358969,9.432575093446856,0.08301067542495827,0.12869260235116986,0.995,4.621
KA,820.0,204.0,1.0,1.0,7.0,1.4015993846208157,-2.993585,8.05413303271209,0.13682280833746355,0.201215902460278,0.996,4.5710000000000015
KA,820.0,204.0,1.0,1.0,5.0,2.0,-5.953062,68492.84641013027,5.94579631037171e-05,0.0001804014199479381,0.998,4.338
KA,820.0,204.0,1.0,1.0,6.0,2.0,-5.5710739999999985,1277.9187465051025,0.001332334141134971,0.0027649629603759447,0.998,4.334
KA,820.0,204.0,1.0,1.0,7.0,2.0,-5.266908,321.09870777732675,0.004848070389949139,0.00903105036090928,0.998,4.328
KA,820.0,204.0,1.0,1.0,8.0,2.0,-5.01578,160.67886172305754,0.009923960117204908,0.017801393155410513,0.999,4.323
KA,820.0,204.0,1.0,1.0,9.0,2.0,-4.803972,105.92261007090148,0.016331408061992327,0.02678225946907304,0.999,4.3180000000000005
KA,820.0,204.0,1.0,1.0,10.0,2.0,-4.621696,79.15881325797695,0.02382051231468466,0.03756351387881417,0.999,4.313
KA,820.0,204.0,1.0,1.0,12.0,2.0,-4.322906,55.24352576435301,0.039659443654722834,0.06364518300326709,0.999,4.3039999999999985
