# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
1.0500000000 -8.5732761145 -0.8776424810 -9.4509185955 10.0732761145 -2.0799958360 7.9932802785
1.0000000000 -8.5000908682 -1.0281672630 -9.5282581312 10.0000908682 -2.1070658717 7.8930249965
0.9500000000 -8.4231509266 -1.1963707616 -9.6195216882 9.9231509266 -2.1382237011 7.7849272255
0.9000000000 -8.3420500947 -1.3853437178 -9.7273938125 9.8420500947 -2.1704800623 7.6715700324
0.8500000000 -8.2563124740 -1.5989247326 -9.8552372066 9.7563124740 -2.2048350541 7.5514774199
0.8000000000 -8.1653755412 -1.8419384169 -10.0073139582 9.6653755412 -2.2415291938 7.4238463474
0.7500000000 -8.0685677595 -2.1205301249 -10.1890978845 9.5685677595 -2.2837645004 7.2848032592
0.7000000000 -7.9650784523 -2.4426460818 -10.4077245341 9.4650784523 -2.3318829547 7.1331954976
0.6500000000 -7.8539164941 -2.8187380136 -10.6726545077 9.3539164941 -2.3883128511 6.9656036430
0.6000000000 -7.7338524326 -3.2628245745 -10.9966770071 9.2338524326 -2.4733455224 6.7605069102
