# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
2.4500000000 -8.7456106164 3.8300317464 -4.9155788700 10.2456106164 -4.3277977955 5.9178128209
2.4000000000 -8.7146816856 3.8197173483 -4.8949643372 10.2146816856 -4.3631047044 5.8515769812
2.3500000000 -8.6831015718 3.8082516122 -4.8748499595 10.1831015718 -4.3971551250 5.7859464468
2.3000000000 -8.6508422640 3.7955376725 -4.8553045915 10.1508422640 -4.4327231910 5.7181190730
2.2500000000 -8.6178739039 3.7814688863 -4.8364050176 10.1178739039 -4.4710431700 5.6468307339
2.2000000000 -8.5841646201 3.7659276323 -4.8182369878 10.0841646201 -4.5094318818 5.5747327383
2.1500000000 -8.5496803428 3.7487839315 -4.8008964113 10.0496803428 -4.5506191832 5.4990611595
2.1000000000 -8.5143845966 3.7298938615 -4.7844907351 10.0143845966 -4.5902176603 5.4241669363
2.0500000000 -8.4782382693 3.7090977254 -4.7691405439 9.9782382693 -4.6329378905 5.3453003788
2.0000000000 -8.4411993504 3.6862179317 -4.7549814187 9.9411993504 -4.6782962704 5.2629030800
1.9500000000 -8.4032226384 3.6610565316 -4.7421661068 9.9032226384 -4.7221537711 5.1810688673
1.9000000000 -8.3642594088 3.6333923479 -4.7308670609 9.8642594088 -4.7701753356 5.0940840732
1.8500000000 -8.3242570382 3.6029776145 -4.7212794237 9.8242570382 -4.8199536746 5.0043033636
1.8000000000 -8.2831585769 3.5695340294 -4.7136245475 9.7831585769 -4.8699599112 4.9131986657
1.7500000000 -8.2409022615 3.5327480983 -4.7081541631 9.7409022615 -4.9244115063 4.8164907552
1.7000000000 -8.1974209561 3.4922656193 -4.7051553369 9.6974209561 -4.9790213087 4.7183996475
1.6500000000 -8.1526415114 3.4476851173 -4.7049563941 9.6526415114 -5.0377812145 4.6148602969
1.6000000000 -8.1064840234 3.3985499944 -4.7079340290 9.6064840234 -5.0986494139 4.5078346095
1.5500000000 -8.0588609759 3.3443390932 -4.7145218828 9.5588609759 -5.1600007905 4.3988601854
1.5000000000 -8.0096762417 3.2844552927 -4.7252209491 9.5096762417 -5.2268032245 4.2828730172
1.4500000000 -7.9588239142 3.2182116467 -4.7406122675 9.4588239142 -5.2933872014 4.1654367128
1.4000000000 -7.9061869345 3.1448144303 -4.7613725042 9.4061869345 -5.3639319744 4.0422549601
1.3500000000 -7.8516354682 3.0633422686 -4.7882931997 9.3516354682 -5.4400697969 3.9115656714
1.3000000000 -7.7950249763 2.9727202625 -4.8223047137 9.2950249763 -5.5235054731 3.7715195032
1.2500000000 -7.7361939065 2.8716876689 -4.8645062377 9.2361939065 -5.6219263930 3.6142675136
1.2000000000 -7.6749609147 2.7587572014 -4.9162037133 9.1749609147 -5.6978545954 3.4771063193
1.1500000000 -7.6111214931 2.6321633328 -4.9789581604 9.1111214931 -5.7889447462 3.3221767470
1.1000000000 -7.5444438493 2.4897960013 -5.0546478480 9.0444438493 -5.8727244963 3.1717193530
1.0500000000 -7.4746638258 2.3291147304 -5.1455490954 8.9746638258 -5.9497095703 3.0249542555
1.0000000000 -7.4014785796 2.1470361276 -5.2544424519 8.9014785796 -6.0339161226 2.8675624569
0.9500000000 -7.3245386380 1.9397847086 -5.3847539294 8.8245386380 -6.1140727986 2.7104658394
0.9000000000 -7.2434378061 1.7026924372 -5.5407453689 8.7434378061 -6.1901221206 2.5533156854
0.8500000000 -7.1577001853 1.4299253598 -5.7277748255 8.6577001853 -6.2706362527 2.3870639326
0.8000000000 -7.0667632526 1.1141047027 -5.9526585499 8.5667632526 -6.3493378774 2.2174253752
0.7500000000 -6.9699554709 0.7457720724 -6.2241833985 8.4699554709 -6.4277587190 2.0421967519
0.7000000000 -6.8664661636 0.3126191141 -6.5538470495 8.3664661636 -6.5049286748 1.8615374888
0.6500000000 -6.7553042054 -0.2016478889 -6.9569520943 8.2553042054 -6.5820414681 1.6732627373
0.6000000000 -6.6352401439 -0.8190257925 -7.4542659364 8.1352401439 -6.6502892676 1.4849508763
